entity,ner
ئەرەب بىرلەشمە خەلىپىلىكى,LOC
ئافغانىستان,LOC
ئانتىگۇئا ۋە باربۇدا,LOC
ئالبانىيە,LOC
ئەرمىنىيە,LOC
ئانگولا,LOC
ئانتاركتىكا,LOC
ئارگېنتىنا,LOC
ئاۋسترىيە,LOC
ئاۋسترالىيە,LOC
ئەزەربەيجان,LOC
بوسنىيە-گېرتسېگوۋىنا,LOC
باربادوس,LOC
بېلگىيە,LOC
بۇلغارىيە,LOC
بەھرەيىن,LOC
بېرمۇدا,LOC
بولىۋىيە,LOC
بىرازىلىيە,LOC
باھاما,LOC
بۇتان,LOC
بوتسۋانا,LOC
بېلورۇسىيە,LOC
كوكوس ئارىلى,LOC
كونگو دېموكراتىك جۇمھۇرىيىتى,LOC
ئوتتۇرا ئافرىقا جۇمھۇرىيىتى,LOC
كونگو جۇمھۇرىيىتى,LOC
شىۋىتسارىيە,LOC
پىل چىشى قىرغىقى,LOC
كۇك تاقىم ئاراللىرى,LOC
چىلى,LOC
كامېرون,LOC
جۇڭگو,LOC
كولۇمبىيە,LOC
كوستارىكا,LOC
كۇبا,LOC
روژدېستۋو ئارىلى,LOC
سىپرۇس,LOC
جىبۇتى,LOC
دانىيە,LOC
دومىنىكا جۇمھۇرىيىتى,LOC
ئالجىرىيە,LOC
ئېكۋادور,LOC
ئېستونىيە,LOC
غەربىي سەھرايى كەبىر,LOC
ئىسپانىيە,LOC
ئېفىيوپىيە,LOC
فىنلاندىيە,LOC
فىجى,LOC
فالكلاند ئارىلى,LOC
فارو ئارىلى,LOC
گرۇزىيە,LOC
گانا,LOC
گامبىيە,LOC
گۋىنىيە,LOC
ئېكۋاتور گۋىنىيىسى,LOC
گرېتسىيە,LOC
جەنۇبىي گرۇزىيە ۋە جەنۇبىي ساندۋىچ ئارىلى,LOC
گۋاتېمالا,LOC
گۋىنىيە-بىسساۋ,LOC
شياڭگاڭ,LOC
خارد ئارىلى ۋە ماكدونالد ئارىلى,LOC
كىرودىيە,LOC
ھايتى,LOC
ۋېنگىرىيە,LOC
ھىندونېزىيە,LOC
ئىرېلاندىيە,LOC
ئىسرائىلىيە,LOC
ئەنگىلىيە ھىندى ئوكيان رايونى,LOC
ئىراق,LOC
ئىران,LOC
